personname,finalworth_2022,finalworth_2018,selfmade,age,category,country,gender
Eric Smidt,5500,2000,True,62,Fashion & Retail,United States,M
Viktor Vekselberg,5500,14000,True,64,Energy,Russia,M
Ronald Wanek,5500,2000,True,80,Manufacturing,United States,M
John Brown,5400,3000,True,87,Healthcare,United States,M
Andrew Currie,5400,5000,True,66,Manufacturing,United Kingdom,M
Tom Golisano,5400,3000,True,80,Service,United States,M
Hui Wing Mau,5400,8000,True,71,Real Estate,Hong Kong,M
Daniel Kretinsky,5400,2000,True,46,Energy,Czechia,M
Joe Lewis,5400,5000,True,85,Finance & Investments,Bahamas,M
Shigenobu Nagamori,5400,5000,True,77,Manufacturing,Japan,M
Kjell Inge Rokke,5400,3000,True,63,Logistics,Norway,M
Wang Wenjing,5400,2000,True,57,Technology,China,M
Samuel Yin,5400,3000,False,71,Diversified,Taiwan,M
M.A. Yusuff Ali,5400,5000,True,66,Fashion & Retail,United Arab Emirates,M
Denise Coates,5300,5000,True,54,Gambling & Casinos,United Kingdom,F
Ken Fisher,5300,3000,True,71,Finance & Investments,United States,M
Sumet Jiaravanon,5300,4000,False,87,Diversified,Thailand,M
Nathan Kirsh,5300,4000,True,90,Fashion & Retail,Eswatini (Swaziland),M
Rudolf Maag,5300,3000,True,76,Healthcare,Switzerland,M
Gary Rollins,5300,4000,False,77,Service,United States,M
Mark Scheinberg,5300,4000,True,48,Gambling & Casinos,United Kingdom,M
Shen Guojun,5300,2000,True,59,Fashion & Retail,China,M
Chip Wilson,5300,2000,True,65,Fashion & Retail,Canada,M
James Chambers,5200,8000,False,64,Media & Entertainment,United States,M
Chen Fashu,5200,2000,True,61,Finance & Investments,China,M
Jaran Chiaravanont,5200,4000,False,92,Diversified,Thailand,M
Ravi Jaipuria,5200,2000,False,67,Food & Beverage,India,M
Koon Poh Keong,5200,2000,True,60,Manufacturing,Malaysia,M
Li Liangbin,5200,1000,True,54,Manufacturing,China,M
Liang Feng,5200,1000,True,53,Manufacturing,China,M
