Rank,Name,Age,Source,Industry,Gender,Continent,Country,Headquarters,State,Net Worth,Title
321.0,Yeung Kin-man,53.0,electronics,Manufacturing,Male,Asia,Hong Kong,,,5.6,
334.0,Rinat Akhmetov,51.0,"steel, coal",Metals & Mining,Male,,Ukraine,,,5.5,
334.0,Shari Arison,60.0,Carnival Cruises,Service,Female,Asia,Israel,,,5.5,
334.0,Dannine Avara,54.0,pipelines,Energy,Female,North America,United States,TX,Texas,5.5,
334.0,Rahel Blocher,42.0,chemicals,Manufacturing,Female,Europe,Switzerland,,,5.5,
334.0,Andrew Currie,62.0,chemicals,Manufacturing,Male,Europe,United Kingdom,,,5.5,
334.0,Scott Duncan,35.0,pipelines,Energy,Male,North America,United States,TX,Texas,5.5,
334.0,Milane Frantz,48.0,pipelines,Energy,Female,North America,United States,TX,Texas,5.5,
334.0,Diane Hendricks,71.0,roofing,Construction & Engineering,Female,North America,United States,WI,Wisconsin,5.5,"Cofounder and Chairman, ABC Supply"
334.0,Magdalena Martullo-Blocher,49.0,chemicals,Manufacturing,Female,Europe,Switzerland,,,5.5,
334.0,Hiroshi Mikitani,52.0,online retail,Fashion & Retail,Male,Asia,Japan,,,5.5,
334.0,Gabe Newell,55.0,videogames,Gambling & Casinos,Male,North America,United States,WA,Washington,5.5,"Cofounder and CEO, Valve Corporation"
334.0,Pan Sutong,54.0,"real estate, finance",Real Estate,Male,Asia,Hong Kong,,,5.5,
334.0,Anthony Pratt,57.0,manufacturing,Manufacturing,Male,Oceania,Australia,,,5.5,
334.0,John Reece,61.0,chemicals,Manufacturing,Male,Europe,United Kingdom,,,5.5,
334.0,Randa Williams,56.0,pipelines,Energy,Female,North America,United States,TX,Texas,5.5,"Non-Executive Chairman of the Board, Enterprise GP Holdings"
334.0,Zhang Bangxin,38.0,after-school tutoring,Service,Male,Asia,China,,,5.5,
334.0,Zhang Shiping,71.0,aluminum products,Metals & Mining,Male,Asia,China,,,5.5,
351.0,Jean-Michel Besnier,50.0,cheese,Food and Beverage,Male,Europe,France,,,5.4,
351.0,Marie Besnier Beauvalot,37.0,cheese,Food and Beverage,Female,Europe,France,,,5.4,
351.0,Richard DeVos,92.0,Amway,Service,Male,North America,United States,MI,Michigan,5.4,
351.0,Michael Herz,74.0,coffee,Fashion & Retail,Male,Europe,Germany,,,5.4,
351.0,Wolfgang Herz,67.0,coffee,Fashion & Retail,Male,Europe,Germany,,,5.4,
351.0,Kjeld Kirk Kristiansen,70.0,Lego,Manufacturing,Male,Europe,Denmark,,,5.4,
351.0,Sofie Kirk Kristiansen,42.0,Lego,Manufacturing,Female,Europe,Denmark,,,5.4,
351.0,Thomas Kirk Kristiansen,,Lego,Manufacturing,Male,Europe,Denmark,,,5.4,
351.0,Lam Wai Ying,,smartphone screens,Manufacturing,Female,Asia,Hong Kong,,,5.4,
351.0,Lin Xiucheng,62.0,electronics,Technology,Male,Asia,China,,,5.4,
351.0,Margarita Louis-Dreyfus,55.0,commodities,Food and Beverage,Female,Europe,Switzerland,,,5.4,"Chairman of Louis Dreyfus, Louis Dreyfus SAS"
351.0,George Roberts,74.0,private equity,Finance and Investments,Male,North America,United States,CA,California,5.4,
351.0,"Edward Roski, Jr.",79.0,real estate,Real Estate,Male,North America,United States,CA,California,5.4,"President and Chairman, Majestic Realty, Co."
351.0,Agnete Kirk Thinggaard,,Lego,Manufacturing,Female,Europe,Denmark,,,5.4,
