personname,finalworth_2022,finalworth_2018,selfmade
Carlos Hank Rhon,2700,2000,False
Brad Kelley,2700,2000,True
Alicia Koplowitz,2700,2000,False
C. Dean Metropoulos,2700,2000,True
Dan Olsson,2700,6000,False
Tor Peterson,2700,2000,True
John Pritzker,2700,2000,False
Hussain Sajwani,2700,4000,True
Jerry Yang,2700,2000,True
Takao Yasuda,2700,2000,True
Harindarpal Banga,2600,1000,True
Anne Beaufour,2600,3000,False
Henri Beaufour,2600,3000,False
Norman Braman,2600,2000,True
J. Hyatt Brown,2600,1000,False
Chen Lip Keong,2600,3000,True
Dong Wei,2600,2000,True
"Frank Fertitta, III.",2600,2000,False
Lorenzo Fertitta,2600,2000,False
Doris Fisher,2600,2000,True
Alec Gores,2600,2000,True
Igor Kesaev,2600,2000,True
Raj Kumar & Kishin RK,2600,2000,False
Nirmal Minda,2600,1000,False
Farhad Moshiri,2600,1000,True
Hans Georg Naeder,2600,3000,False
Eren Ozmen,2600,1000,True
Ronald Perelman,2600,9000,True
Ravi Pillai,2600,3000,True
Daniel Pritzker,2600,2000,False
Matthias Reinhart,2600,1000,True
Alejandro Santo Domingo,2600,4000,False
Vivek Chaand Sehgal,2600,6000,True
Kavitark Ram Shriram,2600,2000,True
Oprah Winfrey,2600,2000,True
Suhail Bahwan,2500,3000,True
Thor Bjorgolfsson,2500,2000,True
Charles Bronfman,2500,2000,False
Leon G. Cooperman,2500,3000,True
Smita Crishna-Godrej,2500,2000,False
Jacques D'Amours,2500,1000,True
Gerald Ford,2500,2000,True
Adi Godrej,2500,2000,False
Jamshyd Godrej,2500,2000,False
Nadir Godrej,2500,2000,False
Sanjiv Goenka,2500,2000,False
Stein Erik Hagen,2500,2000,True
Baba Kalyani,2500,3000,False
Stephen Lansdown,2500,2000,True
William Li,2500,1000,True
Aloke Lohia,2500,2000,False
Mohamed Mansour,2500,2000,True
Kishore Mariwala,2500,1000,False
Willy Michel,2500,1000,True
Lachhman Das Mittal,2500,2000,False
Charles Munger,2500,1000,True
Rishad Naoroji,2500,2000,False
Fatih Ozmen,2500,1000,True
Stewart Rahr,2500,2000,False
Glen Taylor,2500,2000,True
Zhao Tao,2500,2000,False
Edward Bass,2400,2000,False
Chao Teng-hsiung,2400,1000,True
Choo Chong Ngen,2400,2000,True
John Coates,2400,2000,True
Alexandra Daitch,2400,2000,False
John Fisher,2400,2000,False
Caroline Hagen Kjos,2400,2000,False
Lam Kong,2400,2000,True
